population,condition,training_seed,ensemble_seed,scenario,episode_seed,window_first_step,window_last_step,n_rows_in_window,uncertainty_norm_landmark_median,uncertainty_ratio_landmark_median,unsafe_episode,safety_infeasible,operational_failure
safety,A6c_gate_off_control,0,0,motor_fault,50093,0,24,25,7.097228271685784,1.6909932641880012,True,True,True
safety,A6c_gate_off_control,0,0,motor_fault,50094,0,24,25,4.713277708252566,1.1229906312439106,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50095,0,24,25,5.616988065021844,1.3383096357305457,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50096,0,24,25,7.5530751541732,1.7996038341569203,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50097,0,24,25,5.153014905550934,1.2277628902412712,True,False,True
safety,A6c_gate_off_control,0,0,motor_fault,50098,0,24,25,7.743960245199225,1.8450843218631796,False,False,False
safety,A6c_gate_off_control,0,0,motor_fault,50099,0,24,25,5.719102854273068,1.3626396155744633,True,False,True
safety,A6c_gate_off_control,0,0,ood_compound,50000,0,24,25,5.357762715777658,1.2765463243787776,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50001,0,24,25,6.728473347215645,1.6031333180872331,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50002,0,24,25,5.643378605788125,1.3445974744424687,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50003,0,24,25,7.0998240119953,1.6916117280743164,True,True,True
safety,A6c_gate_off_control,0,0,ood_compound,50004,0,24,25,6.806797101452671,1.621794820263951,True,False,True
safety,A6c_gate_off_control,0,0,ood_compound,50005,0,24,25,6.084125576310629,1.4496103230975104,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50006,0,24,25,6.265527924678233,1.4928314423084108,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50007,0,24,25,7.264155355604911,1.730765491276132,True,True,True
safety,A6c_gate_off_control,0,0,ood_compound,50008,0,24,25,6.144537466159409,1.4640041251425573,True,False,True
safety,A6c_gate_off_control,0,0,ood_compound,50009,0,24,25,7.18749453698444,1.712500201933316,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50010,0,24,25,7.117007523532008,1.6957058900698652,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50011,0,24,25,4.513247101033431,1.0753311229837024,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50012,0,24,25,6.922708443019344,1.649411981545658,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50013,0,24,25,6.867274431009515,1.6362042140444346,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50014,0,24,25,5.383107100418814,1.2825849048037812,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50015,0,24,25,7.240871902544867,1.7252179506328857,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50016,0,24,25,7.431169955570339,1.770558570031863,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50017,0,24,25,5.450995602813709,1.2987600926195044,True,False,True
safety,A6c_gate_off_control,0,0,ood_compound,50018,0,24,25,5.86445869465613,1.3972722549075873,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50019,0,24,25,6.215955300305541,1.4810202153486172,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50020,0,24,25,6.841330452042051,1.6300227736284287,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50021,0,24,25,4.205471185024963,1.002000101220471,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50022,0,24,25,7.325981339844536,1.745496216976204,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50023,0,24,25,6.500592309330948,1.5488381361728343,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50024,0,24,25,5.491083223713171,1.308311412419764,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50025,0,24,25,5.408117998042614,1.2885440282522787,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50026,0,24,25,4.659063384337008,1.1100734679437736,True,False,True
safety,A6c_gate_off_control,0,0,ood_compound,50027,0,24,25,4.892402738791468,1.1656691542522746,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50028,0,24,25,6.946728173890014,1.6551349485343279,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50029,0,24,25,6.663829489918945,1.5877312029127855,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50030,0,24,25,4.738698865782605,1.129047503660239,True,False,True
safety,A6c_gate_off_control,0,0,ood_compound,50031,0,24,25,7.416477401919196,1.7670579063492642,False,False,False
safety,A6c_gate_off_control,0,0,ood_compound,50032,0,24,25,6.9133431202938125,1.6471805896501768,False,False,False
