arm,scenario,seed,origin,outcome,steps,final_distance,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,prediction_error_rms_joint1,prediction_error_rms_joint2
adaptive,id_reference,50035,official,success,60,0.048565703116573065,True,True,0.01317044382251531,False,0.0,0,0,42,0.20841774885860964,0.024454304857645694
adaptive_hocbf,id_reference,50035,official,success,60,0.04727452867658861,True,False,0.0,False,0.31666666666666665,0,0,42,0.2606792876331168,0.030738090938354324
fixed,id_reference,50036,official,timeout,250,0.12478932596902924,False,False,0.0,False,0.0,1,,,,
fixed_hocbf,id_reference,50036,official,timeout,250,0.12321277517691945,False,False,0.0,False,0.1,1,,,,
adaptive,id_reference,50036,official,success,38,0.04756536089631635,True,True,0.28473805784367023,False,0.0,1,1,,0.09190150590833221,0.061242723589221275
adaptive_hocbf,id_reference,50036,official,success,49,0.049449743734158357,True,False,0.0,False,0.30612244897959184,1,1,41,0.13232302820510045,0.09083417985816294
fixed,id_reference,50037,official,timeout,250,0.25550469631651096,False,True,0.6098385801997583,False,0.0,1,,,,
fixed_hocbf,id_reference,50037,official,timeout,250,0.2554457473927275,False,False,0.0,False,0.088,1,,,,
adaptive,id_reference,50037,official,success,51,0.04574607096580505,True,True,0.8644432680224095,False,0.0,1,1,42,0.08554994630939491,0.02093987538779703
adaptive_hocbf,id_reference,50037,official,success,51,0.049117010341185895,True,False,0.0,False,0.29411764705882354,1,1,27,0.019343282553644408,0.04843690527753268
fixed,id_reference,50038,official,timeout,250,0.49863432786164286,False,True,1.5637183058081399,False,0.0,2,,,,
fixed_hocbf,id_reference,50038,official,timeout,250,0.49972691977342365,False,False,0.0,False,0.156,2,,,,
adaptive,id_reference,50038,official,success,105,0.04954084154253489,True,True,3.0469641125093405,False,0.0,2,2,64,0.0465357251403415,0.029990228718685938
adaptive_hocbf,id_reference,50038,official,success,71,0.047682980374099626,True,False,0.0,False,0.5633802816901409,2,2,48,0.27189128473348595,0.008968205634839197
fixed,id_reference,50039,official,timeout,250,0.27960268197410754,False,False,0.0,False,0.0,1,,,,
fixed_hocbf,id_reference,50039,official,timeout,250,0.27960486038553817,False,False,0.0,False,0.012,1,,,,
adaptive,id_reference,50039,official,success,34,0.0497672636113455,True,True,0.2549062566219449,False,0.0,1,1,,0.12836717685705135,0.02849247685926457
adaptive_hocbf,id_reference,50039,official,success,46,0.046637093512192085,True,False,0.0,False,0.2608695652173913,1,1,35,0.34503373601360426,0.07329110637797279
fixed,id_reference,50040,official,timeout,250,0.15325859131126668,False,True,0.391385464630565,False,0.0,1,,,,
fixed_hocbf,id_reference,50040,official,timeout,250,0.15325858677998033,False,False,0.0,False,0.044,1,,,,
adaptive,id_reference,50040,official,success,57,0.045105134926933924,True,True,0.6783438835461022,False,0.0,1,1,42,0.2498673086718075,0.034159242545935414
adaptive_hocbf,id_reference,50040,official,success,48,0.046847981252768116,True,False,0.0,False,0.14583333333333334,1,1,23,0.25767983387368243,0.014798093027655695
fixed,id_reference,50041,official,timeout,250,0.1290085718545374,False,True,0.9312071229148382,False,0.0,0,,,,
fixed_hocbf,id_reference,50041,official,timeout,250,0.12900856357621293,False,False,0.0,False,0.056,0,,,,
adaptive,id_reference,50041,official,success,51,0.04556369451694197,True,True,0.7767511093913644,False,0.0,0,0,,0.17597945049484498,0.020897565226711507
adaptive_hocbf,id_reference,50041,official,success,56,0.0453425410144829,True,False,0.0,False,0.23214285714285715,0,0,36,0.21890697342323298,0.04607322370221079
fixed,id_reference,50042,official,timeout,250,0.07166013682086557,False,False,0.0,False,0.0,0,,,,
fixed_hocbf,id_reference,50042,official,timeout,250,0.07166013682507143,False,False,0.0,False,0.032,0,,,,
adaptive,id_reference,50042,official,success,55,0.047287879078364285,True,False,0.0,False,0.0,0,0,30,0.8468152427451034,0.015412720590328778
adaptive_hocbf,id_reference,50042,official,success,55,0.04557190965083633,True,False,0.0,False,0.16363636363636364,0,0,21,0.8577180077881023,0.014879796272757448
fixed,id_reference,50043,official,timeout,250,0.21148589494776912,False,False,0.0,False,0.0,1,,,,
fixed_hocbf,id_reference,50043,official,timeout,250,0.21148589494776912,False,False,0.0,False,0.0,1,,,,
adaptive,id_reference,50043,official,success,33,0.04781760300003887,True,False,0.0,False,0.0,1,1,,0.20605859979742866,0.036214382164645745
adaptive_hocbf,id_reference,50043,official,success,36,0.049927600472453565,True,False,0.0,False,0.1111111111111111,1,1,31,0.2562253693891756,0.035184378677163
fixed,id_reference,50044,official,timeout,250,0.3037732270248197,False,True,0.6919814226166723,False,0.0,1,,,,
fixed_hocbf,id_reference,50044,official,timeout,250,0.30394023030915557,False,False,0.0,False,0.104,1,,,,
adaptive,id_reference,50044,official,success,58,0.045195994330464964,True,True,0.8199042628412363,False,0.0,1,1,56,0.33715383678322774,0.04752725171991411
adaptive_hocbf,id_reference,50044,official,success,57,0.0492287566755595,True,False,0.0,False,0.2807017543859649,1,1,40,0.4961519888023333,0.00445937376689691
fixed,id_reference,50045,official,timeout,250,0.3944746053820811,False,True,0.6841076232364949,False,0.0,2,,,,
fixed_hocbf,id_reference,50045,official,timeout,250,0.3948607957962586,False,True,0.07931013752425954,False,0.268,2,,,,
adaptive,id_reference,50045,official,success,57,0.03883324348937891,True,True,0.6841076232364949,False,0.0,2,2,52,0.0770956868813783,0.10997339774463405
adaptive_hocbf,id_reference,50045,official,success,64,0.03825674013364279,True,False,0.0,False,0.34375,2,2,31,0.08596014904547165,0.07194581122790505
fixed,id_reference,50046,official,timeout,250,0.09198388398519507,False,True,1.232456963142218,False,0.0,1,,,,
fixed_hocbf,id_reference,50046,official,timeout,250,0.09198388406361208,False,False,0.0,False,0.064,1,,,,
adaptive,id_reference,50046,official,success,55,0.048507854678769946,True,True,1.2387566596815498,False,0.0,1,1,23,0.036725294198781656,0.01659612477274881
adaptive_hocbf,id_reference,50046,official,success,56,0.04668695050908745,True,False,0.0,False,0.25,1,1,6,0.0574317382617343,0.09496947515657524
fixed,id_reference,50047,official,timeout,250,0.29572087782895484,False,False,0.0,False,0.0,0,,,,
fixed_hocbf,id_reference,50047,official,timeout,250,0.29572087782895484,False,False,0.0,False,0.0,0,,,,
adaptive,id_reference,50047,official,success,44,0.04390654318004004,True,True,0.19590937353567428,False,0.0,0,0,40,0.47977715824898465,0.04578727834429566
adaptive_hocbf,id_reference,50047,official,success,44,0.04926570553664109,True,False,0.0,False,0.1590909090909091,0,0,39,0.6898790534770751,0.05431461482332645
fixed,id_reference,50048,official,timeout,250,0.2810969816710511,False,True,0.21797934557855347,False,0.0,2,,,,
fixed_hocbf,id_reference,50048,official,timeout,250,0.28109680899974687,False,False,0.0,False,0.084,2,,,,
adaptive,id_reference,50048,official,success,43,0.041326684664429944,True,True,0.23970061714841817,False,0.0,2,2,,0.20906781501504568,0.011486170586528042
adaptive_hocbf,id_reference,50048,official,success,59,0.049531998341562244,True,False,0.0,False,0.3050847457627119,2,2,41,0.3663462726516477,0.02022591341349351
fixed,id_reference,50049,official,timeout,250,0.18934043626944044,False,True,1.143349117612225,False,0.0,2,,,,
fixed_hocbf,id_reference,50049,official,timeout,250,0.18934046959104878,False,False,0.0,False,0.092,2,,,,
adaptive,id_reference,50049,official,success,70,0.045533739930111616,True,True,1.143349117612225,False,0.0,2,2,44,0.19900669848202562,0.003023583606395139
adaptive_hocbf,id_reference,50049,official,success,63,0.04546152364553361,True,False,0.0,False,0.23809523809523808,2,2,14,0.34328544880087364,0.03627510501877607
fixed,id_reference,50050,official,timeout,250,0.33384713953003703,False,True,0.7559433166066558,False,0.0,1,,,,
fixed_hocbf,id_reference,50050,official,timeout,250,0.33381765632534893,False,False,0.0,False,0.144,1,,,,
adaptive,id_reference,50050,official,success,82,0.048303988414929916,True,True,0.7559433166066558,False,0.0,1,1,55,0.12500593672514418,0.04362026264685202
adaptive_hocbf,id_reference,50050,official,success,73,0.046143615990996846,True,False,0.0,False,0.5068493150684932,1,1,40,0.25334120332803395,0.008101952562083984
fixed,id_reference,50051,official,timeout,250,0.13509010826385962,False,True,0.8767463203831798,False,0.0,1,,,,
fixed_hocbf,id_reference,50051,official,timeout,250,0.23301724878168784,False,False,0.0,False,0.996,1,,,,
adaptive,id_reference,50051,official,success,90,0.049776664353694045,True,True,2.5428017901978572,False,0.0,1,1,57,0.0397020237816401,0.02863532852206082
adaptive_hocbf,id_reference,50051,official,success,94,0.049454447150551833,True,False,0.0,False,1.0,1,1,37,0.1790036323465794,0.014871322780126248
fixed,id_reference,50052,official,timeout,250,0.15300571159049536,False,True,1.118572828373833,False,0.0,0,,,,
fixed_hocbf,id_reference,50052,official,timeout,250,0.3685930455734946,False,False,0.0,False,0.996,0,,,,
adaptive,id_reference,50052,official,success,73,0.04113323313417482,True,True,1.349113150003184,False,0.0,0,0,61,0.05225923340636428,0.07278509978023069
adaptive_hocbf,id_reference,50052,official,timeout,250,0.32144866333585165,False,False,0.0,False,1.0,0,0,42,0.057707774817407485,0.0747179924607214
fixed,id_reference,50053,official,timeout,250,0.28459413055696064,False,True,0.2506780776903894,False,0.0,1,,,,
fixed_hocbf,id_reference,50053,official,timeout,250,0.28454002017674046,False,False,0.0,False,0.084,1,,,,
