population,condition,training_seed,scenario,controller,seed,steps,state_observations,unsafe_state_observations,unsafe_state_fraction,unsafe_episode,unsafe_entry_count,first_unsafe_observation,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,normalized_violation_mean,normalized_violation_max,normalized_violation_integral,command_attempts,candidate_constraint_violation_steps,candidate_constraint_violation_fraction,candidate_constraint_margin_min,executed_constraint_margin_min,safety_enabled,safety_infeasible,safety_certified_steps,safety_intervention_steps,safety_intervention_fraction,safety_correction_mean,safety_correction_max,fault_seen,success
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50041,92,93,0,0,false,0,-1,0,0,0,0,0,92,17,0.18478260869565216,-446.66198411537056,-2.1316282072803006e-14,true,false,92,17,0.18478260869565216,3.7934131514915257,32.747503012940321,true,true
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50042,250,251,0,0,false,0,-1,0,0,0,0,0,250,51,0.20399999999999999,-130.72672110290512,-3.5527136788005009e-14,true,false,250,51,0.20399999999999999,0.88356003813621853,9.1479354190397331,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50043,250,251,0,0,false,0,-1,0,0,0,0,0,250,20,0.080000000000000002,-99.126208563788424,-2.8421709430404007e-14,true,false,250,20,0.080000000000000002,0.4222192939463994,7.5335193117166774,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50044,250,251,0,0,false,0,-1,0,0,0,0,0,250,69,0.27600000000000002,-249.80529094983982,-4.9737991503207013e-14,true,false,250,69,0.27600000000000002,2.3356907433217056,18.751369091847724,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50045,250,251,156,0.62151394422310757,true,2,69,0.27637397792912921,0,0.020459649117148912,0.090614418993157128,0.10270743856808753,250,250,1,-414.37413164317087,-2.1316282072803006e-14,true,false,250,250,1,14.381735433875649,31.961902038578071,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50046,76,77,0,0,false,0,-1,0,0,0,0,0,76,20,0.26315789473684209,-427.57936032901148,-1.4210854715202004e-14,true,false,76,20,0.26315789473684209,6.4045589884526173,34.520610675865569,true,true
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50047,250,251,0,0,false,0,-1,0,0,0,0,0,250,20,0.080000000000000002,-103.67584688806559,-2.1316282072803006e-14,true,false,250,20,0.080000000000000002,0.45920982969734769,7.2156533384051453,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50048,250,251,0,0,false,0,-1,0,0,0,0,0,250,69,0.27600000000000002,-223.06936564637107,-4.2632564145606011e-14,true,false,250,69,0.27600000000000002,1.7853381541773401,16.154649444223452,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50049,97,98,0,0,false,0,-1,0,0,0,0,0,97,37,0.38144329896907214,-431.44049196399305,-1.4210854715202004e-14,true,false,97,37,0.38144329896907214,7.0341577310302359,33.092720135598078,true,true
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50050,250,251,0,0,false,0,-1,0,0,0,0,0,250,234,0.93600000000000005,-388.7581754001551,-2.8421709430404007e-14,true,false,250,234,0.93600000000000005,4.4273065566828773,28.111251303841069,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50051,250,251,0,0,false,0,-1,0,0,0,0,0,250,250,1,-293.88375932992142,-1.4210854715202004e-14,true,false,250,250,1,10.529105044978175,23.541978433932375,true,false
safety,A6c_gate_off_control,3,motor_fault,A6c_gate_off_control_train_seed_3,50052,250,251,161,0.64143426294820716,true,1,90,0.073529101199061309,0,0.008028254904344799,0.024107902032479121,0.040301839619810896,250,222,0.88800000000000001,-442.16469810141342,-2.8421709430404007e-14,true,false,250,222,0.88800000000000001,11.765974777547818,31.765509359626751,true,false
