arm,scenario,seed,origin,plant,outcome,steps,final_distance,reward,max_speed,max_command_torque,fault_seen,success,unsafe_episode,normalized_violation_max,safety_infeasible,safety_intervention_fraction,true_delay,selected_lag,converged_at_step,model_fallbacks,prediction_fallbacks,model_fallback_steps,control_steps,selected_time_constant,true_time_constant,true_armature,residual_rms,obstacle_present,obstacle_violation_max_m,obstacle_contact,obstacle_contact_steps,obstacle_contact_geoms,joint_position_violation_max_rad,joint_velocity_violation_max_rad_s,first_unsafe_step,prediction_error_rms_joint1,prediction_error_rms_joint2
adaptive_hocbf,id_reference,52225,official,mujoco,timeout,250,0.35350656595674673,-240.88907937661924,7.295683800055788,40.0,False,False,True,0.042240542865112696,False,1.0,2,2,68,0,0,0,250,0.03,0.018559621973388882,0.03253571334906527,,False,0.0,False,0,(),0.011779646746508554,0.2956838000557882,23,1.1200828527574904,0.13972207858846303
fixed_hocbf,id_reference,52226,official,mujoco,timeout,250,0.7264905244252627,-339.07603704404227,3.7334886111053236,40.0,False,False,False,0.0,False,0.244,2,,,0,0,0,0,,0.04909573575724149,0.06905774191362272,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52226,official,mujoco,success,80,0.04869615702599538,-126.51752352218872,5.682926929416945,40.0,False,True,False,0.0,False,0.3375,2,2,5,0,0,0,80,0.06,0.04909573575724149,0.06905774191362272,,False,0.0,False,0,(),0.0,0.0,-1,4.843905701572556,1.631422486163252
fixed_hocbf,id_reference,52227,official,mujoco,timeout,250,0.11473831849699215,-126.68241157050309,4.431685300528454,40.0,False,False,False,0.0,False,0.076,0,,,0,0,0,0,,0.03722503356919552,0.07036724146121098,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52227,official,mujoco,success,70,0.026121557307724447,-87.90661911575725,5.880837194019311,40.0,False,True,False,0.0,False,0.22857142857142856,0,0,13,0,0,0,70,0.06,0.03722503356919552,0.07036724146121098,,False,0.0,False,0,(),0.0,0.0,-1,3.2639542621282667,0.9232355403856739
fixed_hocbf,id_reference,52228,official,mujoco,timeout,250,0.17366969039952346,-133.57776466182256,3.7819572111742388,40.0,False,False,False,0.0,False,0.104,0,,,0,0,0,0,,0.02820128710666782,0.04012517474563965,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52228,official,mujoco,success,59,0.04677306718154823,-68.0716276985497,5.641840879013305,40.0,False,True,False,0.0,False,0.3220338983050847,0,0,9,0,0,0,59,0.03,0.02820128710666782,0.04012517474563965,,False,0.0,False,0,(),0.0,0.0,-1,0.6731282640923415,0.523122151223921
fixed_hocbf,id_reference,52229,official,mujoco,timeout,250,0.9135026761980469,-249.2875095235112,1.5504873920758466,40.0,False,False,True,0.09649689577008505,False,0.196,0,,,0,0,0,0,,0.04724402866956473,0.057771176274128574,,False,0.0,False,0,(),0.2943155320987594,0.0,150,,
adaptive_hocbf,id_reference,52229,official,mujoco,success,53,0.04765093097452493,-44.127940213636,5.234613572609442,40.0,False,True,False,0.0,False,0.37735849056603776,0,0,36,0,0,0,53,0.06,0.04724402866956473,0.057771176274128574,,False,0.0,False,0,(),0.0,0.0,-1,1.7185190378551567,1.017292866778471
fixed_hocbf,id_reference,52230,official,mujoco,timeout,250,0.19976606469050964,-109.54935824843588,4.8703541546201885,40.0,False,False,False,0.0,False,0.084,0,,,0,0,0,0,,0.013966056029832878,0.04490257143218847,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52230,official,mujoco,success,67,0.04039904058058048,-62.85236853276608,6.334495172922157,40.0,False,True,False,0.0,False,0.3283582089552239,0,0,57,0,0,0,67,0.03,0.013966056029832878,0.04490257143218847,,False,0.0,False,0,(),0.0,0.0,-1,8.810324704781328,0.3540431559584977
fixed_hocbf,id_reference,52231,official,mujoco,timeout,250,0.19718908739929614,-103.48379407679646,5.499812132492369,40.0,False,False,False,0.0,False,0.084,2,,,0,0,0,0,,0.040966978085607626,0.027514014934993874,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52231,official,mujoco,success,53,0.047472759712513475,-35.84908205739816,5.978924876365386,40.0,False,True,False,0.0,False,0.32075471698113206,2,2,5,0,0,0,53,0.03,0.040966978085607626,0.027514014934993874,,False,0.0,False,0,(),0.0,0.0,-1,1.326473630092425,3.219079841270301
fixed_hocbf,id_reference,52232,official,mujoco,success,78,0.04868834833333969,-64.22581490541393,5.756766189506995,40.0,False,True,False,0.0,False,0.2564102564102564,2,,,0,0,0,0,,0.04338954142403641,0.0657916222189816,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52232,official,mujoco,success,69,0.04871622318111613,-65.20940753255084,6.401995936528598,40.0,False,True,False,0.0,False,0.2463768115942029,2,2,62,0,0,0,69,0.03,0.04338954142403641,0.0657916222189816,,False,0.0,False,0,(),0.0,0.0,-1,3.688249223516799,1.461527297609709
fixed_hocbf,id_reference,52233,official,mujoco,timeout,250,0.2739296187635146,-203.22783345691764,5.712014864704851,40.0,False,False,False,0.0,False,0.992,0,,,0,0,0,0,,0.02344183787606271,0.06332485394860068,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52233,official,mujoco,success,87,0.04546213234633934,-106.28680149644804,5.509494841897788,40.0,False,True,False,0.0,False,0.9425287356321839,0,0,80,0,0,0,87,0.03,0.02344183787606271,0.06332485394860068,,False,0.0,False,0,(),0.0,0.0,-1,7.238576410001511,2.221498789086365
fixed_hocbf,id_reference,52234,official,mujoco,abort,29,1.8066174623083218,-86.12852381995724,7.694987737279432,40.0,False,False,True,0.09928396246849025,True,0.9666666666666667,2,,,0,0,0,0,,0.01612393939958025,0.07344509863080854,,False,0.0,False,0,(),0.0,0.6949877372794324,28,,
adaptive_hocbf,id_reference,52234,official,mujoco,success,68,0.04745852933542137,-92.28113141487961,6.4801670477174875,40.0,False,True,False,0.0,False,0.38235294117647056,2,2,35,0,0,0,68,0.01,0.01612393939958025,0.07344509863080854,,False,0.0,False,0,(),0.0,0.0,-1,0.11683894156328004,0.12640954561495732
fixed_hocbf,id_reference,52235,official,mujoco,timeout,250,0.7428890380822488,-391.1427035261233,10.147882011405553,40.0,False,False,True,0.4496974302007932,False,0.896,1,,,0,0,0,0,,0.031545027083471254,0.05371847639597857,,False,0.0,False,0,(),1.2866347203243151,3.147882011405553,34,,
adaptive_hocbf,id_reference,52235,official,mujoco,timeout,250,0.8862004880611369,-387.5328673171957,8.19975211629666,40.0,False,False,True,0.17139315947095146,False,0.944,1,1,93,0,0,0,250,0.03,0.031545027083471254,0.05371847639597857,,False,0.0,False,0,(),0.0006686399855073688,1.1997521162966596,30,16.683421758623446,2.3796366502460407
fixed_hocbf,id_reference,52236,official,mujoco,timeout,250,0.5338702876724379,-287.2329288722161,3.1351826104323757,40.0,False,False,False,0.0,False,0.196,0,,,0,0,0,0,,0.04836685633779036,0.05916841905238293,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52236,official,mujoco,success,69,0.04407919615886034,-94.4204396486971,5.484146385823252,40.0,False,True,False,0.0,False,0.2753623188405797,0,0,25,0,0,0,69,0.06,0.04836685633779036,0.05916841905238293,,False,0.0,False,0,(),0.0,0.0,-1,3.4216858191227577,0.6095079105053517
fixed_hocbf,id_reference,52237,official,mujoco,timeout,250,0.6733963295414767,-298.3426939974788,4.271781294459603,40.0,False,False,False,0.0,False,0.196,2,,,0,0,0,0,,0.040865937713036815,0.02662704287381064,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52237,official,mujoco,success,78,0.04730252369504917,-112.36864382087909,5.397249641172692,40.0,False,True,False,0.0,False,0.3076923076923077,2,2,5,0,0,0,78,0.03,0.040865937713036815,0.02662704287381064,,False,0.0,False,0,(),0.0,0.0,-1,3.396140029875328,1.263304731116541
fixed_hocbf,id_reference,52238,official,mujoco,timeout,250,0.2882949084917406,-119.36860617056838,2.300475910153281,39.48488998413086,False,False,False,0.0,False,0.0,0,,,0,0,0,0,,0.03418467639949912,0.043685477778240694,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52238,official,mujoco,success,28,0.047743269443208704,-10.500691243021304,5.357798249174445,40.0,False,True,False,0.0,False,0.21428571428571427,0,0,7,0,0,0,28,0.03,0.03418467639949912,0.043685477778240694,,False,0.0,False,0,(),0.0,0.0,-1,0.4913953278994142,1.8241671075711057
fixed_hocbf,id_reference,52239,official,mujoco,timeout,250,0.40334425696182996,-252.55461495667092,5.572367006164672,40.0,False,False,False,0.0,False,0.992,1,,,0,0,0,0,,0.023590608665647883,0.04045839770714953,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52239,official,mujoco,success,100,0.047441290142794496,-145.62523335898493,7.607174167405255,40.0,False,True,True,0.0867391667721793,False,0.75,1,1,69,0,0,0,100,0.03,0.023590608665647883,0.04045839770714953,,False,0.0,False,0,(),0.0,0.6071741674052547,18,14.732777735917407,1.4756530145331166
fixed_hocbf,id_reference,52240,official,mujoco,timeout,250,0.5660730297538246,-226.2462305568566,4.178621356629974,40.0,False,False,False,0.0,False,0.168,1,,,0,0,0,0,,0.038537538291968106,0.06176119351981599,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52240,official,mujoco,success,71,0.04961736404565662,-75.74909415761465,5.835609142454471,40.0,False,True,False,0.0,False,0.5070422535211268,1,1,67,0,0,0,71,0.03,0.038537538291968106,0.06176119351981599,,False,0.0,False,0,(),0.0,0.0,-1,6.434548360113486,0.2076772027887456
fixed_hocbf,id_reference,52241,official,mujoco,success,55,0.029375738568718043,-29.352215401828097,4.775581434179477,40.0,False,True,False,0.0,False,0.21818181818181817,1,,,0,0,0,0,,0.04468098222284137,0.04776247008675531,,False,0.0,False,0,(),0.0,0.0,-1,,
adaptive_hocbf,id_reference,52241,official,mujoco,success,57,0.025335262416932187,-27.954807665625985,4.831309186752932,40.0,False,True,False,0.0,False,0.21052631578947367,1,1,52,0,0,0,57,0.03,0.04468098222284137,0.04776247008675531,,False,0.0,False,0,(),0.0,0.0,-1,1.6893882262666473,0.7235388616408549
fixed_hocbf,id_reference,52242,official,mujoco,timeout,250,0.8999987024411567,-298.20241150622445,1.4567967626178369,40.0,False,False,False,0.0,False,0.168,1,,,0,0,0,0,,0.04163522563092186,0.0692824607467293,,False,0.0,False,0,(),0.0,0.0,-1,,
