pairing,filtered,reference,training_seed,scenario,metric,difference,paired_bootstrap_ci95_low,paired_bootstrap_ci95_high,bootstrap_samples
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,ood_compound,unsafe_state_fraction,-0.1348164988406327,-0.1799486400157873,-0.09419161432501154,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,ood_compound,normalized_violation_integral,-0.17963309175000117,-0.2867062928728501,-0.09672297583667672,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,ood_compound,joint_position_violation_max_rad,-0.44091576078944855,-0.7435797049431456,-0.21781254959493104,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,ood_compound,joint_velocity_violation_max_rad_s,-2.3743663229367105,-3.183566289378478,-1.6522673351248807,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,motor_fault,success_rate,-0.08,-0.16,0.0,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,motor_fault,unsafe_episode_rate,-0.52,-0.62,-0.42,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,motor_fault,unsafe_state_fraction,-0.11147227107098684,-0.16473355461627967,-0.06271626033764241,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,motor_fault,normalized_violation_integral,-0.13625114140773256,-0.20052808455812526,-0.08098970403836817,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,motor_fault,joint_position_violation_max_rad,-0.18718860067751864,-0.271752840051775,-0.11069762637552594,10000
A2_to_A5_hocbf,A5_hocbf,A2_unfiltered,4,motor_fault,joint_velocity_violation_max_rad_s,-2.953263839243147,-3.612321715323532,-2.325433204041461,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,id_reference,success_rate,-0.02,-0.05,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,id_reference,unsafe_episode_rate,-0.56,-0.65,-0.46,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,id_reference,unsafe_state_fraction,-0.16322996920306593,-0.217097228246452,-0.11419268246846105,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,id_reference,normalized_violation_integral,-0.18990640848308968,-0.27179554637167797,-0.12284166312269089,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,id_reference,joint_position_violation_max_rad,-0.26129056822935043,-0.3516050330060934,-0.17716402892683195,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,id_reference,joint_velocity_violation_max_rad_s,-3.363804375493191,-4.030834181068067,-2.7168394219662817,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,ood_compound,success_rate,0.0,0.0,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,ood_compound,unsafe_episode_rate,-0.46,-0.56,-0.36,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,ood_compound,unsafe_state_fraction,-0.177270364762642,-0.22262314738521938,-0.13482208281955146,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,ood_compound,normalized_violation_integral,-0.3170982423178455,-0.5355309114540285,-0.16489297721816834,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,ood_compound,joint_position_violation_max_rad,-0.7274380333495399,-1.2085490964601793,-0.38560624590594234,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,ood_compound,joint_velocity_violation_max_rad_s,-2.990882058259827,-3.860580643123782,-2.2134728835235644,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,motor_fault,success_rate,-0.01,-0.05,0.02,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,motor_fault,unsafe_episode_rate,-0.44,-0.55,-0.33,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,motor_fault,unsafe_state_fraction,-0.18578467758992917,-0.24615207413581774,-0.1294051282307359,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,motor_fault,normalized_violation_integral,-0.284498019168499,-0.4782811260858349,-0.15003303476642021,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,motor_fault,joint_position_violation_max_rad,-0.36445574526577806,-0.5396620816776174,-0.22416068340395484,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,0,motor_fault,joint_velocity_violation_max_rad_s,-3.4542604519064377,-4.211103752805093,-2.7361990934285525,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,id_reference,success_rate,-0.02,-0.05,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,id_reference,unsafe_episode_rate,-0.56,-0.66,-0.46,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,id_reference,unsafe_state_fraction,-0.1631360567547085,-0.21848754623319236,-0.11349052708854986,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,id_reference,normalized_violation_integral,-0.19011090620320867,-0.2714587053611287,-0.12095531257293628,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,id_reference,joint_position_violation_max_rad,-0.26139817811398064,-0.35319093430311677,-0.1789485063729009,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,id_reference,joint_velocity_violation_max_rad_s,-3.377528947460533,-4.039656390675081,-2.738020043827152,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,ood_compound,success_rate,0.0,0.0,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,ood_compound,unsafe_episode_rate,-0.48,-0.58,-0.38,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,ood_compound,unsafe_state_fraction,-0.17511897034033125,-0.22095066570455849,-0.13235368970128705,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,ood_compound,normalized_violation_integral,-0.3257235388511943,-0.556890748697667,-0.16739329546903114,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,ood_compound,joint_position_violation_max_rad,-0.7428971549219742,-1.2326029195744168,-0.3882650409893492,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,ood_compound,joint_velocity_violation_max_rad_s,-2.9502287414900787,-3.7632955633773544,-2.192507112671413,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,motor_fault,success_rate,-0.01,-0.03,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,motor_fault,unsafe_episode_rate,-0.44,-0.55,-0.33,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,motor_fault,unsafe_state_fraction,-0.18271854367857382,-0.24170862439632268,-0.1281291809639408,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,motor_fault,normalized_violation_integral,-0.28649011681620323,-0.4800342663947992,-0.15305196437227933,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,motor_fault,joint_position_violation_max_rad,-0.36149779110690566,-0.5335852430836496,-0.2194245515152541,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,1,motor_fault,joint_velocity_violation_max_rad_s,-3.5881594971024713,-4.350615076510751,-2.854936342045338,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,id_reference,success_rate,-0.01,-0.03,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,id_reference,unsafe_episode_rate,-0.56,-0.66,-0.46,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,id_reference,unsafe_state_fraction,-0.16449823533974306,-0.21948004457676806,-0.11323450282934747,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,id_reference,normalized_violation_integral,-0.1903563427016464,-0.26969168253590126,-0.1229046748189313,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,id_reference,joint_position_violation_max_rad,-0.25568111696974244,-0.34484351727206125,-0.17307729981488534,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,id_reference,joint_velocity_violation_max_rad_s,-3.3979404261062087,-4.070278179280165,-2.729545275407284,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,ood_compound,success_rate,0.0,0.0,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,ood_compound,unsafe_episode_rate,-0.46,-0.56,-0.36,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,ood_compound,unsafe_state_fraction,-0.17726880466754605,-0.22279083705684752,-0.1341411013553687,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,ood_compound,normalized_violation_integral,-0.31620784117536926,-0.5242221175135798,-0.165529225968042,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,ood_compound,joint_position_violation_max_rad,-0.7250409917568597,-1.1879468724446538,-0.38967405409881745,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,ood_compound,joint_velocity_violation_max_rad_s,-3.017306509611592,-3.8445140308460015,-2.2446352244600702,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,motor_fault,success_rate,-0.01,-0.04,0.02,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,motor_fault,unsafe_episode_rate,-0.45,-0.56,-0.34,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,motor_fault,unsafe_state_fraction,-0.19271261371816018,-0.2555114081787657,-0.13621664743015155,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,motor_fault,normalized_violation_integral,-0.2978288800073702,-0.4940937888106558,-0.1623546457415102,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,motor_fault,joint_position_violation_max_rad,-0.37161317970692415,-0.5483857417839144,-0.22666631124687883,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,2,motor_fault,joint_velocity_violation_max_rad_s,-3.5363044433773196,-4.293712366494243,-2.819529161085185,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,id_reference,success_rate,-0.03,-0.07,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,id_reference,unsafe_episode_rate,-0.56,-0.66,-0.46,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,id_reference,unsafe_state_fraction,-0.1581361624412676,-0.21021863273773483,-0.11029931250975693,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,id_reference,normalized_violation_integral,-0.1775253435891917,-0.25042629767842284,-0.11538756651969391,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,id_reference,joint_position_violation_max_rad,-0.2611610825537042,-0.35207492068453555,-0.1773577822306245,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,id_reference,joint_velocity_violation_max_rad_s,-3.445463003314347,-4.125153949510996,-2.7575885866564147,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,ood_compound,success_rate,0.0,0.0,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,ood_compound,unsafe_episode_rate,-0.47,-0.57,-0.37,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,ood_compound,unsafe_state_fraction,-0.17627434882638698,-0.22192408936781682,-0.13338988916572436,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,ood_compound,normalized_violation_integral,-0.290962561258887,-0.48851827161089484,-0.15924971484633768,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,ood_compound,joint_position_violation_max_rad,-0.6726358138127216,-1.1201538544870322,-0.36844410029702257,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,ood_compound,joint_velocity_violation_max_rad_s,-3.030399026410056,-3.8427367551725364,-2.2678349707512657,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,motor_fault,success_rate,-0.01,-0.05,0.02,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,motor_fault,unsafe_episode_rate,-0.44,-0.54,-0.33,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,motor_fault,unsafe_state_fraction,-0.18516016564165536,-0.2468587330424299,-0.12762656965179925,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,motor_fault,normalized_violation_integral,-0.28545711025908627,-0.482254407773116,-0.15165026165273293,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,motor_fault,joint_position_violation_max_rad,-0.368216049302236,-0.544540832507276,-0.22901191813388333,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,3,motor_fault,joint_velocity_violation_max_rad_s,-3.509488299673888,-4.261437057025397,-2.769170844139829,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,id_reference,success_rate,-0.01,-0.05,0.02,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,id_reference,unsafe_episode_rate,-0.56,-0.66,-0.46,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,id_reference,unsafe_state_fraction,-0.16018394542807843,-0.21478605096056344,-0.1103608414632112,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,id_reference,normalized_violation_integral,-0.18819449304585273,-0.26957027058762856,-0.11955580496001716,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,id_reference,joint_position_violation_max_rad,-0.25880221502458445,-0.3497114620657624,-0.17570864267354958,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,id_reference,joint_velocity_violation_max_rad_s,-3.311330380830997,-3.974738159362205,-2.6532233434574364,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,ood_compound,success_rate,0.0,0.0,0.0,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,ood_compound,unsafe_episode_rate,-0.49,-0.59,-0.39,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,ood_compound,unsafe_state_fraction,-0.17432215759132727,-0.2209982193113256,-0.13269006138001568,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,ood_compound,normalized_violation_integral,-0.3059371118197959,-0.5171491345065203,-0.16350673873300806,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,ood_compound,joint_position_violation_max_rad,-0.7170031204211053,-1.188891030759096,-0.37746019351075477,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,ood_compound,joint_velocity_violation_max_rad_s,-2.909963773103496,-3.739577043210935,-2.1618356729263195,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,motor_fault,success_rate,0.0,-0.03,0.03,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,motor_fault,unsafe_episode_rate,-0.44,-0.55,-0.33,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,motor_fault,unsafe_state_fraction,-0.1689194229764318,-0.22662952302111525,-0.11478497370168451,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,motor_fault,normalized_violation_integral,-0.20610451680716418,-0.28976770384918044,-0.13563395388889424,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,motor_fault,joint_position_violation_max_rad,-0.31717119739079586,-0.431375538243277,-0.21008512500040763,10000
A6_hocbf_effect,A6_hocbf,A6_prefilter,4,motor_fault,joint_velocity_violation_max_rad_s,-3.410492775079527,-4.1435611431619455,-2.6952349463646126,10000
